,id,data
0,66836,face book facebook uk limited brock street regent place lond nw fg line legal entity labour party bill south ide victoria london sweqt united k ingdom attn account payable vat reg advertiser po numbe r description advertising service ge stat ic ab polling day gotv f per nh jc jessi story right track top tax bracket jmcd scotl lgi article min er endorsement mirror boris quote pension conversi campaign version g e pen ion personal manifesto ay rail fare invoice date jan billing period dec id group payment term net total number must referenced subtotal freight com asbof levy pre tsx advertis ing spend gbpj would lll pay voluntary please remit fll gbp amount inc fac ebool umited fund behalf finance sell regulation callied standard authority ltwww asbotco ul small make big difference ii southside kin gdom scotland video eg op yp sk sr wale bbc gr sw btm canvas vid eco endorser tara advertisi ng invoi ce l twww kingdom ty dtm enemy within final say pet aware going co jv ongoing free prescription conv gir regional manifes p finder issue vifs aucti b deal cli deb pc hope polli auction rump let subtot al umber wasp year test living wage ndm w reveal ind sq lead traf dop rnf ragout doc equality calculator lnstagram static miner endorseme nt lrttp lnstag ram anifesto lns tagram unt vatreg go tv trump otv waspi est cmjv
1,65844,
2,66755,
3,68767,
4,65153,
5,68766,
6,66655,
7,68590,k acebook facebook uk limited brock street regent place london nw fg unit vat legal entity liberal democrat ltd great george swp ae united kingdom attn account payable vatreg advertiser po number cam ge lpv reach gejksnv mem mob nationaucon nationaureach gejna tionalnv prege test pr egeitest pregeitest invoice date dec billing period nov id group payment term net must referenced ireland collecting behalf remit bank detail grand canal square harbour dublin ox iilllllllllllll subtotal freight asbof fevy pre ta x odvertfslng spend gbp would like pa voluntary please totaf amount inc vy fscebook lim fund baha f levy finance advertising se regulalion c ndards authority llwww eo small make big difference face book faceboo demogra swpae reg camiprege pregeftest fcamipregeitest lnstagram con icamjge ksjlpv geiks camige ksnv na tionaucon gejnationai mf icam lns agram camjpr ege r remll paymenl caoal hatr dd lrela acctname total currenc mrrf ft code tax pay vofuntary wll regulatlon carried standard asbot smll ley limit ed unite lje camipregeitest jnstagram pregeffest fest l nslagram preg e nstagram est lm tagram te st lnslagram p regeitest coupon goodwill bug j ount ayment invoi ce paymen collecllng cebook llmlted dx ii ank swift curren
8,65845,
9,66997,
10,68823,royal mail trading name group ltd registered engl ale invoice numbe office victoria embankme hq vat registration eccie vled nov date liberal democra grea george street london swp ae account held democrat great l fir lo c change royalmail com ket posting posler sender ref contract format service quantity welght kg swpae customer number unit cost term day please pay net value code non slandard jae drop dalo booking type band item rate total activity nonstanoro dale ac tivity b activi ty lc nd cf tj f e typo nonst anoro nonstanord g nonsta noro h j io si ii data payment advice mall use codo bank coda rec address processing centre rowland hill house boythorpe road chesterfield shq input amount carried forward next paying bacs instruct due following instruction overleaf send dvice cheque crossed payee made payable gr oup fill box right tear return quoting reverse supply instead must include information listed custo mer tendored
11,68589,
12,65282,
13,64976,
14,68752,
15,68751,
16,67743,
17,68750,
18,67621,
19,67675,
20,65846,
21,68749,
22,67630,
23,64581,
24,68643,
25,67727,
26,68765,
27,65305,
28,65306,
29,64978,
30,64977,
31,68822,
32,68821,
33,64980,
34,64979,
35,67726,
36,65784,
37,65783,
38,68820,
39,65847,
40,68084,
41,65848,
42,66838,facebook fcebk lrelmd limi ed gnlrd crial sc u ce grand anal hartnir dublin ijelmd billing report ad payment dat billed trans action id busin omentum lnkl malioo mi thod amount l gbp ctoo geip oogbp c gsp itoo j giw gij p g gp tj dd oogp gl e gbi llr cl qgbp cll ql w qgsp f gb ddgbp dgbp al ct dogbp b tiobl ti sl ij gf croo oo bl fj cvj total iiatr lila
43,68748,
44,67624,
45,68074,
46,65447,
47,68747,
48,65448,
49,68077,
50,68764,
51,68027,
52,68847,
53,68763,
54,65436,
55,68079,tc brcxfr party order hjo dj te nov
56,65633,
57,68762,
58,65281,
59,65280,
60,64938,
61,66987,
62,65361,
63,68893,f l invoice lnve ice date term trade client id om liberal democrat great george street london swp ae pick datem electric coach iuantity seat description vehicle wrap hq quantlty battery powered printer lllls electrfc uantity quantity electrlc quanti ty hospitali hospitality westway service limited unit price campaign launch require required pri ce full day crouch end un e mail website downtime tax central avenue west molesey surrey ktqt cptm ember tcoa member ti ref total otal jl ikt erms clientld coa ch lij ave mole surre tel private h ire quantlly time first lounge diner destination st albans homsey kensington quired watford p rice cpt od j ii ferrns rom dale hire pi ck daternme puantlty lll q desc ription tothlll yard wallington streatham loading equipm ent esher aven ue memb er lnvoiceno swpae hospita lity additional driver seais descl lpho hospital ity picl hospltality li ktql double crew midsomer norton prlce wale tot al leeds hampstead battersea nvoice tferms hi din meal taxi parking scription ill sea hotel eats hospi tality glasgow truro ax req uired southampton cambridge sheffield finish requir ed prk cheltenham prloo kt qt membe r tota democr position glagsow feeder warwick c oach ervi irt cen tral cardiff chelmsford edinburgh websit wtnchester portsmouth guil dford pr wokingh sur ktq tr totaf lnvi escription de ou wish pay bacs election dewrap bath final websi te cptmember fl go paying fr please add cover international bank transfer charge name account na sortcod swift ibanno ng number payment allocated correctly updated condition privacy policy viewed manager printed
64,68586,
65,66706,
66,66709,
67,65390,
68,65389,
69,68003,
70,67602,
71,68090,
72,68642,
73,68648,
74,68638,
75,64939,
76,64949,
77,68641,
78,65589,
79,67965,
80,65279,
81,68026,
82,65248,
83,67576,
84,65849,
85,65704,
86,66707,
87,68647,
88,68872,
89,67970,
90,68134,
91,68140,
92,65449,
93,65590,
94,64975,
95,64967,
96,68761,
97,65450,
98,67052,
99,64940,
100,68078,
101,66689,
102,66644,
103,67075,
104,68023,
105,66698,
106,67728,
107,67677,
108,65591,
109,64463,
